5.9207	284.97	284.97	284.97
5.8858	283.41	283.41	283.41
5.8514	281.87	281.87	281.87
5.8173	280.36	280.36	280.36
5.7837	278.87	278.87	278.87
5.7537	277.55	277.55	277.55
5.7208	276.1	276.1	276.1
5.6883	274.69	274.69	274.69
5.6561	273.29	273.29	273.29
5.6275	272.06	272.06	272.06
5.596	270.71	270.71	270.71
5.5648	269.39	269.39	269.39
5.534	268.09	268.09	268.09
5.5066	266.94	266.94	266.94
5.4764	265.68	265.68	265.68
5.4466	264.45	264.45	264.45
5.4171	263.24	263.24	263.24
5.3908	262.18	262.18	262.18
5.3619	261.01	261.01	261.01
5.3333	259.88	259.88	259.88
5.305	258.76	258.76	258.76
5.277	257.67	257.67	257.67
5.2521	256.7	256.7	256.7
5.2247	255.65	255.65	255.65
5.1975	254.62	254.62	254.62
5.1706	253.62	253.62	253.62
5.1467	252.73	252.73	252.73
5.1203	251.77	251.77	251.77
5.0942	250.83	250.83	250.83
5.0684	249.91	249.91	249.91
5.0454	249.1	249.1	249.1
5.0201	248.22	248.22	248.22
4.995	247.36	247.36	247.36
4.9702	246.52	246.52	246.52
4.9481	245.79	245.79	245.79
4.9237	244.99	244.99	244.99
4.8996	244.21	244.21	244.21
4.8757	243.45	243.45	243.45
4.852	242.71	242.71	242.71
4.8309	242.06	242.06	242.06
4.8077	241.36	241.36	241.36
4.7847	240.68	240.68	240.68
4.7619	240.02	240.02	240.02
4.7416	239.44	239.44	239.44
4.7192	238.81	238.81	238.81
4.697	238.2	238.2	238.2
4.6751	237.61	237.61	237.61
4.6555	237.09	237.09	237.09
4.6339	236.53	236.53	236.53
4.6125	235.99	235.99	235.99
4.5914	235.47	235.47	235.47
4.5704	234.96	234.96	234.96
4.5517	234.52	234.52	234.52
4.531	234.04	234.04	234.04
4.5106	233.58	233.58	233.58
4.4904	233.14	233.14	233.14
4.4723	232.75	232.75	232.75
4.4524	232.34	232.34	232.34
4.4326	231.94	231.94	231.94
4.4131	231.56	231.56	231.56
4.3956	231.23	231.23	231.23
4.3764	230.87	230.87	230.87
4.3573	230.53	230.53	230.53
4.3384	230.21	230.21	230.21
4.3215	229.92	229.92	229.92
4.3029	229.62	229.62	229.62
4.2845	229.34	229.34	229.34
4.2662	229.06	229.06	229.06
4.2481	228.8	228.8	228.8
4.2319	228.58	228.58	228.58
4.2141	228.34	228.34	228.34
4.1964	228.12	228.12	228.12
4.1788	227.91	227.91	227.91
4.1632	227.73	227.73	227.73
4.1459	227.54	227.54	227.54
4.1288	227.36	227.36	227.36
4.1118	227.2	227.2	227.2
4.0967	227.06	227.06	227.06
4.08	226.91	226.91	226.91
4.0634	226.78	226.78	226.78
4.0469	226.65	226.65	226.65
4.0323	226.55	226.55	226.55
4.0161	226.44	226.44	226.44
4	226.35	226.35	226.35
3.9841	226.26	226.26	226.26
3.9682	226.19	226.19	226.19
3.9541	226.12	226.12	226.12
3.9386	226.07	226.07	226.07
3.9231	226.02	226.02	226.02
3.9078	225.97	225.97	225.97
3.8941	225.94	225.94	225.94
3.879	225.92	225.92	225.92
3.864	225.9	225.9	225.9
3.8491	225.89	225.89	225.89
3.8358	225.89	225.89	225.89
3.8212	225.89	225.89	225.89
3.8066	225.9	225.9	225.9
3.7922	225.92	225.92	225.92
3.7793	225.94	225.94	225.94
3.7651	225.97	225.97	225.97
3.7509	226.01	226.01	226.01
3.7369	226.06	226.06	226.06
3.723	226.11	226.11	226.11
3.7106	226.16	226.16	226.16
3.6969	226.22	226.22	226.22
3.6832	226.28	226.28	226.28
3.6697	226.35	226.35	226.35
3.6576	226.42	226.42	226.42
3.6443	226.51	226.51	226.51
3.6311	226.59	226.59	226.59
3.6179	226.68	226.68	226.68
3.6062	226.77	226.77	226.77
3.5932	226.86	226.86	226.86
3.5804	226.97	226.97	226.97
3.5676	227.07	227.07	227.07
3.5549	227.18	227.18	227.18
3.5436	227.28	227.28	227.28
3.5311	227.39	227.39	227.39
3.5187	227.51	227.51	227.51
3.5063	227.63	227.63	227.63
3.4953	227.73	227.73	227.73
3.4831	227.86	227.86	227.86
3.471	227.98	227.98	227.98
3.459	228.1	228.1	228.1
3.4483	228.21	228.21	228.21
3.4364	228.33	228.33	228.33
3.4247	228.45	228.45	228.45
3.413	228.57	228.57	228.57
3.4025	228.67	228.67	228.67
3.391	228.78	228.78	228.78
3.3795	228.88	228.88	228.88
3.3681	228.98	228.98	228.98
3.3568	229.07	229.07	229.07
3.3467	229.14	229.14	229.14
3.3356	229.2	229.2	229.2
3.3245	229.24	229.24	229.24
3.3135	229.26	229.26	229.26
3.3036	229.25	229.25	229.25
3.2927	229.19	229.19	229.19
3.2819	229.08	229.08	229.08
3.2712	228.89	228.89	228.89
3.2616	228.62	228.62	228.62
3.251	228.15	228.15	228.15
3.2404	227.4	227.4	227.4
3.23	226.16	226.16	226.16
3.2206	224.23	224.23	224.23
3.2103	219.92	219.92	219.92
3.2	207.94	207.94	207.94
3.1898	204.92	204.92	204.92
3.1797	256.22	256.22	256.22
3.1706	247.93	247.93	247.93
3.1606	243.92	243.92	243.92
3.1506	241.92	241.92	241.92
3.1407	240.8	240.8	240.8
3.1319	240.18	240.18	240.18
3.1221	239.74	239.74	239.74
3.1124	239.47	239.47	239.47
3.1027	239.31	239.31	239.31
3.0941	239.24	239.24	239.24
3.0845	239.22	239.22	239.22
3.075	239.24	239.24	239.24
3.0656	239.3	239.3	239.3
3.0572	239.37	239.37	239.37
3.0478	239.48	239.48	239.48
3.0386	239.6	239.6	239.6
3.0294	239.73	239.73	239.73
3.0202	239.88	239.88	239.88
3.012	240.02	240.02	240.02
3.003	240.19	240.19	240.19
2.994	240.36	240.36	240.36
2.9851	240.54	240.54	240.54
2.9771	240.71	240.71	240.71
2.9682	240.9	240.9	240.9
2.9595	241.09	241.09	241.09
2.9507	241.29	241.29	241.29
2.9429	241.47	241.47	241.47
2.9343	241.68	241.68	241.68
2.9257	241.88	241.88	241.88
2.9171	242.09	242.09	242.09
2.9087	242.3	242.3	242.3
2.9011	242.49	242.49	242.49
2.8927	242.71	242.71	242.71
2.8843	242.92	242.92	242.92
2.876	243.14	243.14	243.14
2.8686	243.33	243.33	243.33
2.8604	243.55	243.55	243.55
2.8523	243.77	243.77	243.77
2.8441	243.99	243.99	243.99
2.8369	244.19	244.19	244.19
2.8289	244.41	244.41	244.41
2.8209	244.63	244.63	244.63
2.8129	244.85	244.85	244.85
2.8058	245.05	245.05	245.05
2.798	245.27	245.27	245.27
2.7902	245.5	245.5	245.5
2.7824	245.72	245.72	245.72
2.7747	245.94	245.94	245.94
2.7678	246.14	246.14	246.14
2.7601	246.36	246.36	246.36
2.7525	246.58	246.58	246.58
2.745	246.8	246.8	246.8
2.7382	247	247	247
2.7308	247.22	247.22	247.22
2.7233	247.44	247.44	247.44
2.7159	247.66	247.66	247.66
2.7093	247.86	247.86	247.86
2.702	248.07	248.07	248.07
2.6947	248.29	248.29	248.29
2.6875	248.51	248.51	248.51
2.681	248.7	248.7	248.7
2.6738	248.92	248.92	248.92
2.6667	249.13	249.13	249.13
2.6596	249.35	249.35	249.35
2.6525	249.56	249.56	249.56
2.6462	249.76	249.76	249.76
2.6392	249.97	249.97	249.97
2.6323	250.18	250.18	250.18
2.6254	250.39	250.39	250.39
2.6192	250.58	250.58	250.58
2.6123	250.79	250.79	250.79
2.6055	251	251	251
2.5987	251.2	251.2	251.2
2.5927	251.39	251.39	251.39
2.586	251.6	251.6	251.6
2.5793	251.8	251.8	251.8
2.5727	252.01	252.01	252.01
2.5667	252.19	252.19	252.19
2.5602	252.39	252.39	252.39
2.5536	252.59	252.59	252.59
2.5471	252.79	252.79	252.79
2.5406	252.99	252.99	252.99
2.5349	253.17	253.17	253.17
2.5284	253.37	253.37	253.37
2.5221	253.56	253.56	253.56
2.5157	253.76	253.76	253.76
2.51	253.93	253.93	253.93
2.5038	254.13	254.13	254.13
2.4975	254.32	254.32	254.32
2.4913	254.51	254.51	254.51
2.4857	254.68	254.68	254.68
2.4795	254.87	254.87	254.87
2.4734	255.06	255.06	255.06
2.4673	255.24	255.24	255.24
2.4612	255.43	255.43	255.43
2.4558	255.59	255.59	255.59
2.4498	255.78	255.78	255.78
2.4438	255.96	255.96	255.96
2.4378	256.14	256.14	256.14
2.4325	256.3	256.3	256.3
2.4266	256.48	256.48	256.48
2.4207	256.66	256.66	256.66
2.4149	256.83	256.83	256.83
2.4096	256.99	256.99	256.99
2.4038	257.16	257.16	257.16
2.3981	257.34	257.34	257.34
2.3923	257.51	257.51	257.51
2.3872	257.66	257.66	257.66
2.3815	257.83	257.83	257.83
2.3759	257.99	257.99	257.99
2.3702	258.16	258.16	258.16
2.3646	258.32	258.32	258.32
2.3596	258.47	258.47	258.47
2.3541	258.63	258.63	258.63
2.3485	258.79	258.79	258.79
2.343	258.94	258.94	258.94
2.3381	259.08	259.08	259.08
2.3326	259.24	259.24	259.24
2.3272	259.39	259.39	259.39
2.3218	259.54	259.54	259.54
2.317	259.67	259.67	259.67
2.3116	259.82	259.82	259.82
2.3063	259.96	259.96	259.96
2.301	260.1	260.1	260.1
2.2962	260.23	260.23	260.23
2.291	260.36	260.36	260.36
2.2857	260.5	260.5	260.5
2.2805	260.63	260.63	260.63
2.2753	260.76	260.76	260.76
2.2707	260.87	260.87	260.87
2.2655	260.99	260.99	260.99
2.2604	261.1	261.1	261.1
2.2553	261.21	261.21	261.21
2.2507	261.31	261.31	261.31
2.2457	261.41	261.41	261.41
2.2407	261.5	261.5	261.5
2.2356	261.59	261.59	261.59
2.2312	261.66	261.66	261.66
2.2262	261.72	261.72	261.72
2.2212	261.78	261.78	261.78
2.2163	261.82	261.82	261.82
2.2119	261.84	261.84	261.84
2.207	261.84	261.84	261.84
2.2022	261.82	261.82	261.82
2.1973	261.76	261.76	261.76
2.1925	261.67	261.67	261.67
2.1882	261.54	261.54	261.54
2.1834	261.36	261.36	261.36
2.1787	261.16	261.16	261.16
2.1739	261.08	261.08	261.08
2.1697	261.45	261.45	261.45
2.165	263.29	263.29	263.29
2.1603	266.97	266.97	266.97
